,portfolio,benchmark,regime
2013-02-01,1.3448323665460962,1.4150118086236316,Bull
2013-02-04,1.3391818136717886,1.4127184966611461,Bull
2013-02-05,1.3440495686983551,1.4162556318972994,Bull
2013-02-06,1.345489108861404,1.4215149167225913,Bull
2013-02-07,1.3438805948106007,1.4191222893795237,Bull
2013-02-08,1.3475602493871348,1.426049333937104,Bull
2013-02-11,1.346292113112015,1.4254419000323597,Bull
2013-02-12,1.3472288850890655,1.425437689547795,Bull
2013-02-13,1.3466493894083813,1.421528813789584,Bull
2013-02-14,1.3474439258547748,1.4274703635116093,Bull
2013-02-15,1.3453367530461773,1.4247965733237018,Bull
2013-02-19,1.3494719615799164,1.4283659774947197,Bull
2013-02-20,1.3407429549763534,1.4194099162354727,Bull
2013-02-21,1.3377126464718365,1.4175529819935244,Bull
2013-02-22,1.3441857467313467,1.426253000453021,Bull
2013-02-25,1.3349147567444484,1.421182960589024,Bull
2013-02-26,1.3395367204453847,1.4237329835625507,Bull
2013-02-27,1.3462001984048027,1.432814873077083,Bull
2013-02-28,1.3445403960012439,1.4321838970166116,Bull
2013-03-01,1.3465776571186168,1.4381370715252488,Bull
2013-03-04,1.3490962782926377,1.439683744201584,Bull
2013-03-05,1.3543100897103957,1.4457673984567678,Bull
2013-03-06,1.3547028582475216,1.4417001147439619,Bull
2013-03-07,1.3547307688753103,1.4388272755004232,Bull
2013-03-08,1.3562119984807428,1.436502634635266,Bull
2013-03-11,1.358633568245506,1.4403250221106856,Bull
2013-03-12,1.3584114801119016,1.4425499543374767,Bull
2013-03-13,1.3585855137682863,1.4431741439498527,Bull
2013-03-14,1.3619670432546804,1.4460361107291146,Bull
2013-03-15,1.362277576128447,1.4476015230259718,Bull
2013-03-18,1.3600006209029822,1.4472098926781978,Bull
2013-03-19,1.3594429705045874,1.4491134636272336,Bull
2013-03-20,1.3622639894589963,1.4487207777464648,Bull
2013-03-21,1.3582758813166136,1.4468849834478805,Bull
2013-03-22,1.3628730664996396,1.4543024798389765,Bull
2013-03-25,1.3595977555519103,1.450112095059985,Bull
2013-03-26,1.3643670926463278,1.4577675714755534,Bull
2013-03-27,1.3653173025652623,1.4627362827083794,Bull
2013-03-28,1.366513119907601,1.4624676394816467,Bull
2013-04-01,1.3642803357160962,1.4634012685116808,Bull
2013-04-02,1.3663018750825902,1.4653598270045545,Bull
2013-04-03,1.3604982681530755,1.4617154976850069,Bull
2013-04-04,1.3643894141603596,1.4722531317947105,Bull
2013-04-05,1.3643613804986874,1.4801724037257384,Bull
2013-04-08,1.367159989874636,1.4816507476951715,Bull
2013-04-09,1.369680845693735,1.4832651133621737,Bull
2013-04-10,1.3750273337770103,1.4860167908169257,Bull
2013-04-11,1.3777126305828058,1.490078444093593,Bull
2013-04-12,1.374428702997525,1.496768754678989,Bull
2013-04-15,1.3551153840504675,1.4811626399150086,Bull
2013-04-16,1.3640976689690096,1.4894167160241574,Bull
2013-04-17,1.355320243728068,1.4803153526586323,Bull
2013-04-18,1.3526548121981112,1.4762074802152,Bull
2013-04-19,1.3583096447890917,1.4826602498884274,Bull
2013-04-22,1.362377501602819,1.4870422846675078,Bull
2013-04-23,1.3681098439825428,1.4941605345998648,Bull
2013-04-24,1.3700609698934338,1.4962407332318424,Bull
2013-04-25,1.3738217592865578,1.4972965716212654,Bull
2013-04-26,1.3735648847581745,1.5011969676512102,Bull
2013-04-29,1.378653696778509,1.5050404218124311,Bull
2013-04-30,1.3802474320587987,1.5075366252855127,Bull
2013-05-01,1.375237400204183,1.5058009636597154,Bull
2013-05-02,1.3808000952982666,1.5134151255776893,Bull
2013-05-03,1.3849539282053442,1.5083509122455943,Bull
2013-05-06,1.3860403978233893,1.5091529451287014,Bull
2013-05-07,1.387732384005519,1.5113907838592655,Bull
2013-05-08,1.3921285723631667,1.5164738123414687,Bear
2013-05-09,1.38887216914299,1.5123491777635785,Bear
2013-05-10,1.38460959340854,1.5088007353324735,Bear
2013-05-13,1.3836520777462602,1.5048963428239928,Bull
2013-05-14,1.3881649459947825,1.507688560403419,Bull
2013-05-15,1.3905653165227179,1.516596455512646,Bull
2013-05-16,1.3883866687323576,1.5186313096822466,Bull
2013-05-17,1.3912895869992534,1.5197631685936503,Bull
2013-05-20,1.3937228705329723,1.5189812907697904,Bull
2013-05-21,1.3942430672900321,1.5250732146275303,Bull
2013-05-22,1.38712426091465,1.5092260264928048,Bull
2013-05-23,1.3864616182073806,1.5094666306607147,Bull
2013-05-24,1.3849410441784848,1.5095290548257787,Bull
2013-05-28,1.3853370530505296,1.4996510055003271,Bull
2013-05-29,1.3828325254329052,1.5005524404707837,Bull
2013-05-30,1.3860753426841543,1.5024164912121936,Bull
2013-05-31,1.3748701914233237,1.487437392980293,Bull
2013-06-03,1.380131410071745,1.495504378010582,Bull
2013-06-04,1.3762683244557643,1.4856671365436767,Bull
2013-06-05,1.3685227011231016,1.4813912367776807,Bull
2013-06-06,1.374347679871813,1.4890776139957616,Bull
2013-06-07,1.3679840799061107,1.4897936635871447,Bear
2013-06-10,1.3677000016095626,1.486950200747241,Bull
2013-06-11,1.3661334559534517,1.484823271586217,Bear
2013-06-12,1.3606950640498765,1.4689544010463353,Bull
2013-06-13,1.3670647191814829,1.4915651007012958,Bear
2013-06-14,1.3635595685832382,1.4845396035175957,Bull
2013-06-17,1.3631363924852002,1.488287378575934,Bear
2013-06-18,1.3621511897790843,1.4956625565882216,Bear
2013-06-19,1.3502752359227432,1.4770836102630642,Bull
2013-06-20,1.3334720684934263,1.4454267997162635,Bear
2013-06-21,1.3300477348481814,1.438406461295624,Bear
2013-06-24,1.3262882219946701,1.4298897295126258,Crisis
2013-06-25,1.3312589597478581,1.433041016794016,Bull
2013-06-26,1.3279420454559394,1.4452734585090576,Bear
2013-06-27,1.329131271235748,1.456273764923767,Bear
2013-06-28,1.3329809414188327,1.4566768975565791,Bear
2013-07-01,1.3374698472331696,1.462971975857448,Bear
2013-07-02,1.335762677336727,1.4617846580338731,Bear
2013-07-03,1.3360084286156508,1.4604168391666128,Bull
2013-07-05,1.3366496915212227,1.4499576984733005,Bull
2013-07-08,1.3423403637470337,1.4605427008198528,Bull
2013-07-09,1.3447243454201994,1.4674486774433846,Crisis
2013-07-10,1.343422716721714,1.4631771552473296,Bear
2013-07-11,1.356302224274805,1.4820007909872506,Bear
2013-07-12,1.35504281957909,1.4818778764406404,Bear
2013-07-15,1.3578182684716127,1.4884114729309363,Bear
2013-07-16,1.3588547184684903,1.4870994268575164,Bear
2013-07-17,1.3602168508909929,1.4904846197085087,Bull
2013-07-18,1.3592880230343518,1.4879350544875452,Bear
2013-07-19,1.3644889273533134,1.4989332495693448,Bear
2013-07-22,1.3680633506029811,1.501566048141026,Bull
2013-07-23,1.3670759254411888,1.4971256203578034,Bull
2013-07-24,1.3622222454332906,1.4862449263501178,Bull
2013-07-25,1.3647153798036953,1.4881927450588621,Bull
2013-07-26,1.365390353977814,1.4927993809497841,Bear
2013-07-29,1.3621917633804974,1.4856836857500908,Bull
2013-07-30,1.3620139884426188,1.4854619395536506,Bull
2013-07-31,1.3627696339346582,1.4882565867584097,Bull
2013-08-01,1.367155884197682,1.4871064261588773,Bull
2013-08-02,1.3702325963757285,1.4951719766904543,Bull
2013-08-05,1.3681213239741798,1.4892564846028147,Bull
2013-08-06,1.3641260937667261,1.4859251481363052,Bull
2013-08-07,1.363043219401253,1.4874656953935483,Bull
2013-08-08,1.367426851916826,1.4923515628956392,Bull
2013-08-09,1.3659964323994074,1.4907156017273528,Bull
2013-08-12,1.3657867354598832,1.4856007252854626,Bull
2013-08-13,1.3652475376907265,1.4796461989071155,Bull
2013-08-14,1.3633172785959633,1.4759936865588819,Bull
2013-08-15,1.3550487490897976,1.4556350515350858,Bull
2013-08-16,1.3534023755206943,1.4507273262989338,Bull
2013-08-19,1.349089711648442,1.4401110578963503,Bear
2013-08-20,1.3529096719856375,1.4487999397422409,Bear
2013-08-21,1.3473799867450453,1.437103418788868,Bear
2013-08-22,1.3501825702245922,1.4508162732963752,Bear
2013-08-23,1.356751467201505,1.460051897023119,Bear
2013-08-26,1.3551795604994632,1.4597038625680578,Bull
2013-08-27,1.3474537015401353,1.4529708845800011,Bull
2013-08-28,1.3481299336995507,1.4513569906812394,Bull
2013-08-29,1.348232040960386,1.457370487651699,Bear
2013-08-30,1.3449316518202616,1.4539414209488097,Bull
2013-09-03,1.3480248595287885,1.4496833982749164,Bull
2013-09-04,1.3452841227006678,1.4556001673650467,Bear
2013-09-05,1.3377530960549633,1.4485883325655524,Bear
2013-09-06,1.343905456632993,1.4518886991750892,Bear
2013-09-09,1.350151923653572,1.4605126657107785,Bull
2013-09-10,1.3457682139311073,1.462915002245358,Bear
2013-09-11,1.3491883609698414,1.4708708691261259,Bear
2013-09-12,1.3434315974382265,1.4677289973027579,Bear
2013-09-13,1.3449623408442166,1.471986865721084,Bear
2013-09-16,1.3479635150680318,1.4731740454497602,Bull
2013-09-17,1.3513224152793641,1.4819885648234288,Bull
2013-09-18,1.3647010880205046,1.4995964435201203,Bull
2013-09-19,1.3624940909973366,1.4945461245035616,Bull
2013-09-20,1.3567201572457284,1.4914267875412373,Bull
2013-09-23,1.354852256170863,1.4916641991198025,Bull
2013-09-24,1.3545718513074405,1.4959939166390497,Bull
2013-09-25,1.3541977333574782,1.4946316545187428,Bull
2013-09-26,1.3551625779894085,1.4938912856410616,Bull
2013-09-27,1.3536353467141917,1.4912327702004617,Bull
2013-09-30,1.3499903597817042,1.4855697284439324,Bull
2013-10-01,1.3522389186815198,1.4908227207352296,Bull
2013-10-02,1.3533262049733348,1.4908795654095695,Bull
2013-10-03,1.3479396331603863,1.4816743150907592,Bull
2013-10-04,1.3514110575888165,1.4879610550310811,Bull
2013-10-07,1.346967151963414,1.4826648309179973,Bull
2013-10-08,1.3395822008623954,1.4724709576578674,Bull
2013-10-09,1.3391175281322023,1.468397220797152,Bull
2013-10-10,1.3508528055621591,1.4883387052753736,Bull
2013-10-11,1.3538654098948442,1.493922764921223,Bull
2013-10-14,1.355421397395362,1.4926859757168573,Bull
2013-10-15,1.3518213379501425,1.4857901548918464,Bull
2013-10-16,1.3611397567721357,1.5056879704155461,Bull
2013-10-17,1.3690179121850188,1.5171876474087813,Bull
2013-10-18,1.3729709529771366,1.5246432746667034,Bull
