Date,EFA,GLD,IEF,SHY,SPY,TLT
2020-03-18,39.216796875,140.6999969482422,99.6136703491211,74.7962646484375,219.32823181152344,120.21656799316406
2020-03-19,39.82706832885742,138.0399932861328,99.94052124023438,74.92654418945312,219.79432678222656,123.48949432373047
2020-03-20,39.333831787109375,140.11000061035156,102.48678588867188,75.1263656616211,210.32244873046875,132.77536010742188
2020-03-23,38.8740234375,146.3000030517578,103.69972229003906,75.21321868896484,204.94488525390625,138.24700927734375
2020-03-24,42.167877197265625,153.39999389648438,102.99432373046875,75.10897064208984,223.5135498046875,135.67359924316406
2020-03-25,43.53891372680664,151.3000030517578,103.05455017089844,75.19585418701172,226.859619140625,135.365478515625
2020-03-26,45.486793518066406,153.24000549316406,103.3039779663086,75.28272247314453,240.1058807373047,136.03160095214844
2020-03-27,44.19099426269531,152.25,104.0696029663086,75.26534271240234,232.95419311523438,139.66273498535156
2020-03-30,45.08552169799805,152.9199981689453,104.31048583984375,75.30005645751953,240.51950073242188,138.5134735107422
2020-03-31,44.69260025024414,148.0500030517578,104.49972534179688,75.28272247314453,236.93446350097656,137.38912963867188
2020-04-01,42.711273193359375,149.4499969482422,104.92514038085938,75.33142852783203,226.27130126953125,139.31410217285156
2020-04-02,43.54727554321289,151.89999389648438,104.94239044189453,75.34880065917969,231.49253845214844,140.19808959960938
2020-04-03,42.552433013916016,152.64999389648438,105.01986694335938,75.33142852783203,228.14654541015625,140.53172302246094
2020-04-06,44.809635162353516,156.8800048828125,104.54621124267578,75.2791976928711,243.47027587890625,140.164794921875
2020-04-07,45.06043243408203,156.0399932861328,104.08113861083984,75.2618179321289,243.71847534179688,138.69696044921875
2020-04-08,45.42827606201172,154.64999389648438,103.95197296142578,75.30530548095703,251.8997039794922,137.6878204345703
2020-04-09,46.4565544128418,158.69000244140625,104.17584991455078,75.33142852783203,255.73304748535156,137.9380340576172
2020-04-13,46.01348114013672,161.41000366210938,103.95197296142578,75.34010314941406,253.39817810058594,136.6785888671875
2020-04-14,46.832759857177734,162.67999267578125,104.08975219726562,75.34010314941406,260.8715515136719,136.645263671875
2020-04-15,45.36975860595703,161.85000610351562,105.01986694335938,75.36618041992188,255.32847595214844,140.26487731933594
2020-04-16,45.39482879638672,161.7100067138672,105.13187408447266,75.38360595703125,256.560302734375,141.8578643798828
2020-04-17,46.59867477416992,158.57000732421875,104.85626220703125,75.35749816894531,263.4914245605469,139.95626831054688
2020-04-20,45.9047966003418,159.6999969482422,105.13187408447266,75.35749816894531,258.84912109375,141.0821533203125
2020-04-21,45.01027297973633,158.61000061035156,105.4246826171875,75.3749008178711,250.98973083496094,142.85862731933594
2020-04-22,45.77103042602539,161.72999572753906,105.09741973876953,75.34880065917969,256.560302734375,141.39907836914062
2020-04-23,45.6289176940918,163.33999633789062,105.16632080078125,75.34010314941406,256.5417785644531,142.14968872070312
2020-04-24,46.15559387207031,162.63999938964844,105.19210815429688,75.34010314941406,260.1177673339844,142.4833221435547
2020-04-27,46.765872955322266,161.55999755859375,104.63232421875,75.34010314941406,263.8682861328125,139.8312225341797
2020-04-28,47.11698913574219,160.83999633789062,105.08880615234375,75.36618041992188,262.6549072265625,141.44085693359375
2020-04-29,48.295753479003906,161.72999572753906,105.03713989257812,75.35749816894531,269.5307922363281,140.70687866210938
2020-04-30,47.29255676269531,158.8000030517578,104.78733825683594,75.48796081542969,267.02130126953125,139.06387329101562
2020-05-01,46.26427459716797,159.77999877929688,104.93218231201172,75.37651824951172,259.9523010253906,140.2547607421875
2020-05-04,46.24755096435547,160.33999633789062,104.949462890625,75.37651824951172,260.6692810058594,139.594970703125
2020-05-05,46.331153869628906,161.02000427246094,104.87184143066406,75.3678207397461,263.07769775390625,138.701416015625
2020-05-06,46.030189514160156,158.9499969482422,104.48387145996094,75.39395904541016,261.29437255859375,136.4634552001953
2020-05-07,46.72407531738281,161.38999938964844,105.121826171875,75.44620513916016,264.44744873046875,138.74317932128906
2020-05-08,47.518280029296875,160.4199981689453,104.77696228027344,75.42875671386719,268.822998046875,136.9393768310547
2020-05-11,47.476470947265625,159.4199981689453,104.48387145996094,75.40262603759766,268.8780822753906,135.87042236328125
2020-05-12,46.87455368041992,160.0399932861328,104.8287353515625,75.4200439453125,263.51898193359375,137.2650604248047
2020-05-13,46.515079498291016,161.5800018310547,105.04426574707031,75.4200439453125,258.8583679199219,138.22544860839844
2020-05-14,46.071990966796875,163.00999450683594,105.2081069946289,75.40262603759766,261.956298828125,139.57838439941406
2020-05-15,46.11378860473633,163.92999267578125,105.13912200927734,75.44620513916016,263.1604309082031,139.21926879882812
2020-05-18,47.97807693481445,162.69000244140625,104.49250793457031,75.38528442382812,271.1762390136719,136.16273498535156
2020-05-19,47.3176383972168,164.25999450683594,104.78563690185547,75.42875671386719,268.3908996582031,136.6721954345703
2020-05-20,48.304115295410156,164.64999389648438,104.8115005493164,75.42875671386719,272.95037841796875,137.0813751220703
